"#","Protein Accession","Protein Name","Gene Accession","Gene Symbol","Locus Tag","Vaxign‑ML Score","Localization(Probability)","Adhesin Probability","Trans-membrane Helices"
"1","Vaccine1:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.555","1"
"2","Vaccine5:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.593","1"
"3","Vaccine6:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.593","1"
"4","Vaccine7:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.589","1"
"5","Vaccine8:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.549","1"
"6","Vaccine9:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.608","1"
"7","Vaccine10:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.585","1"
"8","Vaccine15:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.600","3"
"9","Vaccine16:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.617","3"
"10","Vaccine4:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.573","1"
"11","Vaccine2:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.661","1"
"12","Vaccine3:","","-","-","-","90.9","Cytoplasmic Membrane                                  (Prob.=0.95)","0.751","1"
"13","Vaccine11:","","-","-","-","90.5","Cytoplasmic Membrane                                  (Prob.=0.95)","0.589","1"
"14","Vaccine12:","","-","-","-","90.5","Cytoplasmic Membrane                                  (Prob.=0.95)","0.650","1"
"15","Vaccine14:","","-","-","-","88.8","Periplasmic                                  (Prob.=0.84)","0.647","1"
"16","Vaccine13:","","-","-","-","88.2","Periplasmic                                  (Prob.=0.84)","0.715","1"
