"#","Protein Accession","Protein Name","Gene Accession","Gene Symbol","Locus Tag","Vaxign‑ML Score","Localization(Probability)","Adhesin Probability","Trans-membrane Helices"
"1","Vaccine1:","","-","-","-","90.9","Unknown                                  (Prob.=0.20)","0.563","0"
"2","Vaccine9:","","-","-","-","90.9","Unknown                                  (Prob.=0.20)","0.595","0"
"3","Vaccine10:","","-","-","-","90.9","Unknown                                  (Prob.=0.20)","0.576","0"
"4","Vaccine14:","","-","-","-","90.9","Periplasmic                                  (Prob.=0.98)","0.682","0"
"5","Vaccine15:","","-","-","-","90.9","Periplasmic                                  (Prob.=0.98)","0.658","2"
"6","Vaccine16:","","-","-","-","90.9","Unknown                                  (Prob.=0.25)","0.682","2"
"7","Vaccine7:","","-","-","-","90.9","Unknown                                  (Prob.=0.20)","0.565","0"
"8","Vaccine8:","","-","-","-","90.9","Unknown                                  (Prob.=0.20)","0.508","0"
"9","Vaccine13:","","-","-","-","90.9","Periplasmic                                  (Prob.=0.98)","0.738","0"
"10","Vaccine4:","","-","-","-","90.9","Unknown                                  (Prob.=0.20)","0.564","0"
"11","Vaccine2:","","-","-","-","90.8","Unknown                                  (Prob.=0.20)","0.561","0"
"12","Vaccine6:","","-","-","-","90.8","Unknown                                  (Prob.=0.20)","0.574","0"
"13","Vaccine12:","","-","-","-","90.6","Unknown                                  (Prob.=0.20)","0.678","0"
"14","Vaccine5:","","-","-","-","90.6","Unknown                                  (Prob.=0.20)","0.574","0"
"15","Vaccine11:","","-","-","-","90.5","Unknown                                  (Prob.=0.20)","0.563","0"
"16","Vaccine3:","","-","-","-","90.3","Unknown                                  (Prob.=0.20)","0.696","0"
